Date,Open,High,Low,Close,Adj Close,Volume
2007-12-21,5577.100098,5622.609863,5562.680176,5602.77002,5602.77002,286831900
2007-12-24,5619.859863,5621.799805,5603.399902,5614.279785,5614.279785,23649000
2007-12-27,5626.129883,5656.140137,5617.660156,5627.47998,5627.47998,82236200
2007-12-28,5595.189941,5640.0,5593.919922,5627.25,5627.25,64864000
2007-12-31,5621.120117,5621.830078,5600.620117,5614.080078,5614.080078,21781800
2008-01-02,5609.97998,5665.939941,5530.430176,5550.359863,5550.359863,100458200
2008-01-03,5538.200195,5559.049805,5515.609863,5546.080078,5546.080078,117504500
2008-01-04,5543.689941,5567.089844,5417.529785,5446.790039,5446.790039,162947200
2008-01-07,5432.0,5475.25,5429.319824,5452.830078,5452.830078,181161800
2008-01-08,5476.509766,5533.930176,5471.140137,5495.669922,5495.669922,174857100
2008-01-09,5459.399902,5463.069824,5420.060059,5435.419922,5435.419922,198041500
2008-01-10,5468.540039,5471.819824,5394.52002,5400.430176,5400.430176,166136700
2008-01-11,5398.490234,5410.910156,5349.25,5371.410156,5371.410156,178858400
2008-01-14,5345.830078,5421.220215,5343.25,5403.509766,5403.509766,142891500
2008-01-15,5390.370117,5394.140137,5250.089844,5250.819824,5250.819824,192383100
2008-01-16,5216.220215,5289.049805,5177.680176,5225.390137,5225.390137,233648700
2008-01-17,5278.290039,5278.5,5150.240234,5157.089844,5157.089844,204957900
2008-01-18,5159.560059,5231.560059,5081.22998,5092.399902,5092.399902,255148000
2008-01-21,5006.47998,5012.529785,4726.759766,4744.450195,4744.450195,365210100
2008-01-22,4544.790039,4903.990234,4505.140137,4842.540039,4842.540039,463552500
2008-01-23,4950.0,4950.0,4591.240234,4636.759766,4636.759766,353541900
2008-01-24,4816.990234,4916.97998,4773.529785,4915.290039,4915.290039,323092800
2008-01-25,5001.569824,5001.569824,4855.430176,4878.120117,4878.120117,232316200
2008-01-28,4791.5,4854.339844,4755.97998,4848.299805,4848.299805,166274300
2008-01-29,4893.379883,4949.399902,4868.009766,4941.450195,4941.450195,167172600
2008-01-30,4911.72998,4911.799805,4841.299805,4873.569824,4873.569824,178151400
2008-01-31,4863.370117,4907.669922,4762.72998,4869.790039,4869.790039,216186900
2008-02-01,4935.790039,5009.160156,4927.180176,4978.060059,4978.060059,225981000
2008-02-04,5027.259766,5027.259766,4954.930176,4973.640137,4973.640137,131717900
2008-02-05,4970.089844,4970.790039,4767.450195,4776.859863,4776.859863,200152000
2008-02-06,4729.410156,4823.029785,4729.410156,4816.430176,4816.430176,211346000
2008-02-07,4792.560059,4797.540039,4683.060059,4723.799805,4723.799805,221349300
2008-02-08,4764.859863,4789.379883,4679.799805,4709.649902,4709.649902,224328000
2008-02-11,4653.149902,4734.72998,4644.740234,4682.700195,4682.700195,154090700
2008-02-12,4728.779785,4846.970215,4676.100098,4840.709961,4840.709961,196522500
2008-02-13,4791.819824,4887.310059,4781.5,4855.399902,4855.399902,168735900
2008-02-14,4923.970215,4926.330078,4835.77002,4858.649902,4858.649902,177895400
2008-02-15,4857.490234,4877.660156,4743.930176,4771.790039,4771.790039,175653200
2008-02-18,4810.290039,4879.22998,4810.290039,4861.799805,4861.799805,99598200
2008-02-19,4844.52002,4940.359863,4806.169922,4885.830078,4885.830078,153181200
2008-02-20,4828.359863,4866.899902,4779.140137,4812.810059,4812.810059,168788700
2008-02-21,4854.100098,4905.169922,4834.040039,4858.850098,4858.850098,162398400
2008-02-22,4818.72998,4878.180176,4786.669922,4824.549805,4824.549805,162038700
2008-02-25,4877.890137,4925.939941,4870.410156,4919.259766,4919.259766,143544400
2008-02-26,4955.709961,4980.649902,4917.149902,4973.069824,4973.069824,176562600
2008-02-27,4990.629883,4992.77002,4892.589844,4968.819824,4968.819824,182277000
2008-02-28,4939.149902,4964.089844,4856.049805,4865.22998,4865.22998,178539100
2008-02-29,4837.009766,4873.02002,4768.529785,4790.660156,4790.660156,196078300
2008-03-03,4723.220215,4764.149902,4698.0,4742.660156,4742.660156,150295500
2008-03-04,4749.069824,4782.859863,4655.25,4675.910156,4675.910156,163286600
2008-03-05,4723.100098,4767.589844,4689.029785,4756.419922,4756.419922,141700700
2008-03-06,4767.040039,4767.040039,4664.140137,4678.049805,4678.049805,158195900
2008-03-07,4630.569824,4661.879883,4576.589844,4618.959961,4618.959961,198919200
2008-03-10,4601.709961,4625.97998,4534.580078,4566.990234,4566.990234,158091800
2008-03-11,4589.879883,4683.180176,4566.950195,4627.689941,4627.689941,189545700
