uuid,market-timestamp,host-timestamp,cashflow,selected-company,form-action,chart-type,is_news_description_displayed,news_title
1c7fe0fa-a3a6-4b04-81c7-c38ae2b67be3,2005-04-11T00:00:00,1721140874.142369,100000,MC.PA,sell,market,False,
4753aa95-74f5-47de-ac48-a90150281560,2005-04-15T00:00:00,1721140899.793274,100000,MC.PA,sell,market,False,
2bb597d6-6f95-4658-b5fc-033326e195f6,2005-04-15T00:00:00,1721140905.683333,100000,MC.PA,sell,market,False,
3d8b2ac8-9820-4f81-8c08-ea84a490d6ca,2005-04-15T00:00:00,1721140906.852339,100000,MC.PA,sell,market,False,
