Date,Open,High,Low,Close,Adj Close,Volume
2016-04-08,4259.100098,4315.589844,4258.509766,4303.120117,4303.120117,100861900
2016-04-11,4294.120117,4338.810059,4263.080078,4312.629883,4312.629883,103360100
2016-04-12,4317.500000,4348.399902,4269.100098,4345.910156,4345.910156,121266000
2016-04-13,4407.029785,4490.310059,4404.580078,4490.310059,4490.310059,154790600
2016-04-14,4487.220215,4515.000000,4473.350098,4511.509766,4511.509766,125164800
2016-04-15,4502.160156,4508.160156,4482.330078,4495.169922,4495.169922,110271800
2016-04-18,4425.250000,4517.080078,4424.759766,4506.839844,4506.839844,92413600
2016-04-19,4521.600098,4577.870117,4521.600098,4566.479980,4566.479980,115227500
2016-04-20,4546.350098,4596.330078,4538.430176,4591.919922,4591.919922,115806900
2016-04-21,4607.689941,4607.689941,4551.330078,4582.830078,4582.830078,124963900
2016-04-22,4578.819824,4580.520020,4553.589844,4569.660156,4569.660156,100028400
2016-04-25,4561.919922,4574.459961,4522.229980,4546.120117,4546.120117,87927900
2016-04-26,4557.000000,4579.120117,4515.399902,4533.180176,4533.180176,100430500
2016-04-27,4534.990234,4564.700195,4525.790039,4559.399902,4559.399902,106492200
2016-04-28,4520.250000,4557.359863,4482.370117,4557.359863,4557.359863,111361900
2016-04-29,4500.430176,4508.830078,4428.589844,4428.959961,4428.959961,128212700
2016-05-02,4455.759766,4458.740234,4429.470215,4442.750000,4442.750000,63246300
2016-05-03,4435.000000,4437.649902,4364.009766,4371.979980,4371.979980,107768800
2016-05-04,4365.200195,4387.750000,4317.279785,4324.229980,4324.229980,116952000
2016-05-05,4321.359863,4346.200195,4303.250000,4319.459961,4319.459961,79774300
2016-05-06,4290.410156,4311.490234,4245.169922,4301.240234,4301.240234,111464700
2016-05-09,4322.689941,4363.560059,4302.959961,4322.810059,4322.810059,112215100
2016-05-10,4338.049805,4374.750000,4320.290039,4338.209961,4338.209961,104155500
2016-05-11,4335.140137,4340.580078,4289.379883,4316.669922,4316.669922,93288200
2016-05-12,4295.740234,4361.879883,4266.959961,4293.270020,4293.270020,103302300
2016-05-13,4264.770020,4335.149902,4253.129883,4319.990234,4319.990234,99597300
2016-05-16,4290.649902,4316.279785,4269.629883,4312.279785,4312.279785,48829700
2016-05-17,4325.109863,4362.330078,4273.859863,4297.569824,4297.569824,101426100
2016-05-18,4275.390137,4322.229980,4267.709961,4319.299805,4319.299805,87238900
2016-05-19,4292.250000,4314.229980,4274.569824,4282.540039,4282.540039,101435500
2016-05-20,4323.620117,4353.899902,4312.500000,4353.899902,4353.899902,109632000
2016-05-23,4344.890137,4357.080078,4300.180176,4325.100098,4325.100098,78807700
2016-05-24,4309.299805,4440.649902,4300.419922,4431.520020,4431.520020,104153000
2016-05-25,4457.850098,4490.169922,4445.790039,4481.640137,4481.640137,107680300
2016-05-26,4478.169922,4513.770020,4477.020020,4512.640137,4512.640137,103885200
2016-05-27,4498.430176,4518.220215,4493.060059,4514.740234,4514.740234,85290900
2016-05-30,4507.089844,4531.180176,4503.520020,4529.399902,4529.399902,39995000
2016-05-31,4532.319824,4536.629883,4496.859863,4505.620117,4505.620117,122220900
2016-06-01,4502.839844,4507.220215,4458.299805,4475.390137,4475.390137,92411400
2016-06-02,4468.839844,4486.560059,4447.620117,4466.000000,4466.000000,93613500
2016-06-03,4477.830078,4492.200195,4396.629883,4421.779785,4421.779785,111642400
2016-06-06,4407.009766,4435.629883,4407.009766,4423.379883,4423.379883,73061400
2016-06-07,4443.410156,4486.470215,4441.209961,4475.859863,4475.859863,96308900
2016-06-08,4461.279785,4473.290039,4435.350098,4448.729980,4448.729980,93531800
2016-06-09,4437.020020,4438.379883,4394.520020,4405.609863,4405.609863,95370600
2016-06-10,4390.810059,4390.810059,4301.100098,4306.720215,4306.720215,119451700
2016-06-13,4253.979980,4275.970215,4227.020020,4227.020020,4227.020020,115884600
