ACA.PA-shares,ACA.PA-total,AI.PA-shares,AI.PA-total,AIR.PA-shares,AIR.PA-total,BN.PA-shares,BN.PA-total,BNP.PA-shares,BNP.PA-total,CS.PA-shares,CS.PA-total,DG.PA-shares,DG.PA-total,DSY.PA-shares,DSY.PA-total,EL.PA-shares,EL.PA-total,KER.PA-shares,KER.PA-total,MC.PA-shares,MC.PA-total,OR.PA-shares,OR.PA-total,RI.PA-shares,RI.PA-total,RMS.PA-shares,RMS.PA-total,SAF.PA-shares,SAF.PA-total,SAN.PA-shares,SAN.PA-total,STLAM.MI-shares,STLAM.MI-total,STMPA.PA-shares,STMPA.PA-total,SU.PA-shares,SU.PA-total,TTE.PA-shares,TTE.PA-total,cashflow,host-timestamp,last-news,market-timestamp,nbr-news-displayed,news-mode,request 1,request 10,request 2,request 3,request 4,request 5,request 6,request 7,request 8,request 9,selected-company,selected-graph,selected-news
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808080.595308,STMicroelectronics: nouveau membre du projet Zephyr,2024-02-26 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"Zephyr, un projet 'open source' lancé par la Fondation Linux, a annoncé lundi que Stmicroelectronics avait rejoint son programme en qualité de membre 'silver'.Le projet Zephyr vise à développer un système d'exploitation en temps réel (RTOS) libre, sécurisé et facile à déployer et à gérer à destination des appareils connectés ou embarqués.Dans le cadre de la conception de sa version 3.6, une vingtaine de membres 'silver' tels que STMicroelectronics, Infineon, ou Texas Instruments vont s'associer à une dizaine de membres 'platine' de la trempe de Google, Intel, Meta, NXP, Qualcomm."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808083.069042,LVMH négocie avec Lagardère pour racheter Paris Match,2024-02-27 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"Zephyr, un projet 'open source' lancé par la Fondation Linux, a annoncé lundi que Stmicroelectronics avait rejoint son programme en qualité de membre 'silver'.Le projet Zephyr vise à développer un système d'exploitation en temps réel (RTOS) libre, sécurisé et facile à déployer et à gérer à destination des appareils connectés ou embarqués.Dans le cadre de la conception de sa version 3.6, une vingtaine de membres 'silver' tels que STMicroelectronics, Infineon, ou Texas Instruments vont s'associer à une dizaine de membres 'platine' de la trempe de Google, Intel, Meta, NXP, Qualcomm."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808084.554333,LVMH négocie avec Lagardère pour racheter Paris Match,2024-02-27 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808086.164558,"Airbus : nouveau -double- record à 153,7E",2024-02-28 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808089.15785,Airbus: commande de la part de Niagara Helicopters,2024-02-29 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808090.448751,Airbus: commande de la part de Niagara Helicopters,2024-02-29 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"A l'occasion du salon d'Anaheim en Californie, Airbus indique que Niagara Helicopters lui a passé une commande de six hélicoptères H130, confirmant ainsi le renouvellement complet de la flotte de cette entreprise touristique.Chaque année, cette entreprise basée à Niagara Falls, en Ontario, accueille plus de 100.000 clients du monde entier, offrant une visite guidée de neuf minutes et 27 kilomètres au-dessus des chutes du Niagara.Appareil de choix pour le tourisme, le H130 dispose d'une cabine large et dégagée qui peut accueillir le pilote et jusqu'à sept passagers, offrant une visibilité exceptionnelle grâce à un grand pare-brise enveloppant et de larges fenêtres."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808092.036608,"ST-Micro: prend +3,8% vers 43,3E ce 1er mars, +3,9% en hebdo",2024-03-01 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"A l'occasion du salon d'Anaheim en Californie, Airbus indique que Niagara Helicopters lui a passé une commande de six hélicoptères H130, confirmant ainsi le renouvellement complet de la flotte de cette entreprise touristique.Chaque année, cette entreprise basée à Niagara Falls, en Ontario, accueille plus de 100.000 clients du monde entier, offrant une visite guidée de neuf minutes et 27 kilomètres au-dessus des chutes du Niagara.Appareil de choix pour le tourisme, le H130 dispose d'une cabine large et dégagée qui peut accueillir le pilote et jusqu'à sept passagers, offrant une visibilité exceptionnelle grâce à un grand pare-brise enveloppant et de larges fenêtres."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808092.187363,"ST-Micro: prend +3,8% vers 43,3E ce 1er mars, +3,9% en hebdo",2024-03-01 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808095.116019,"ST-Micro: prend +3,8% vers 43,3E ce 1er mars, +3,9% en hebdo",2024-03-02 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808098.131986,"ST-Micro: prend +3,8% vers 43,3E ce 1er mars, +3,9% en hebdo",2024-03-03 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808580.829336,"ST-Micro: prend +3,8% vers 43,3E ce 1er mars, +3,9% en hebdo",2024-03-03 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
