Date,Open,High,Low,Close,Adj Close,Volume
2000-10-04,6366.560059,6389.209961,6284.609863,6296.129883,6296.129883,0
2000-10-05,6317.890137,6369.830078,6304.810059,6335.120117,6335.120117,0
2000-10-06,6323.279785,6356.390137,6229.25,6258.410156,6258.410156,0
2000-10-09,6220.080078,6227.629883,6082.790039,6110.060059,6110.060059,0
2000-10-10,6166.709961,6184.689941,6114.75,6143.299805,6143.299805,0
2000-10-11,6062.569824,6096.220215,5947.640137,5956.120117,5956.120117,0
2000-10-12,6025.009766,6076.660156,5848.419922,5990.700195,5990.700195,0
2000-10-13,5862.509766,6064.209961,5828.140137,6064.209961,6064.209961,0
2000-10-16,6158.339844,6158.339844,6044.040039,6088.040039,6088.040039,0
2000-10-17,6097.189941,6151.649902,6067.149902,6067.149902,6067.149902,0
2000-10-18,5998.359863,6012.430176,5833.629883,5937.350098,5937.350098,0
2000-10-19,6012.560059,6071.220215,5964.77002,6066.47998,6066.47998,0
2000-10-20,6108.589844,6183.459961,6051.509766,6149.439941,6149.439941,0
2000-10-23,6123.189941,6203.509766,6120.089844,6182.339844,6182.339844,0
2000-10-24,6194.060059,6323.740234,6150.850098,6323.740234,6323.740234,0
2000-10-25,6246.140137,6301.259766,6188.390137,6277.899902,6277.899902,0
2000-10-26,6199.939941,6297.189941,6186.319824,6208.419922,6208.419922,0
2000-10-27,6274.790039,6319.740234,6225.910156,6268.930176,6268.930176,0
2000-10-30,6232.0,6296.839844,6230.910156,6296.839844,6296.839844,0
2000-10-31,6347.049805,6400.129883,6320.759766,6397.660156,6397.660156,0
2000-11-01,6434.899902,6434.899902,6346.75,6409.049805,6409.049805,0
2000-11-02,6419.470215,6441.290039,6383.069824,6400.310059,6400.310059,0
2000-11-03,6428.220215,6444.97998,6371.759766,6398.919922,6398.919922,0
2000-11-06,6459.5,6459.5,6348.560059,6352.240234,6352.240234,0
2000-11-07,6393.620117,6395.490234,6329.910156,6386.069824,6386.069824,0
2000-11-08,6423.600098,6452.970215,6332.399902,6336.029785,6336.029785,0
2000-11-09,6292.27002,6330.600098,6236.819824,6271.149902,6271.149902,0
2000-11-10,6261.700195,6305.669922,6137.589844,6147.490234,6147.490234,0
2000-11-13,6104.990234,6132.640137,5996.720215,6037.72998,6037.72998,0
2000-11-14,6081.959961,6240.330078,6072.529785,6225.97998,6225.97998,0
2000-11-15,6223.0,6312.779785,6197.049805,6301.779785,6301.779785,0
2000-11-16,6290.370117,6290.680176,6220.620117,6283.060059,6283.060059,0
2000-11-17,6221.790039,6272.899902,6161.919922,6161.919922,6161.919922,0
2000-11-20,6178.569824,6195.410156,6005.899902,6021.790039,6021.790039,0
2000-11-21,6021.290039,6116.819824,6013.290039,6081.02002,6081.02002,0
