host-timestamp,market-timestamp,selected-company,cashflow,form-action,chart-type,is_news_description_displayed,news_title,deleted-request,MC.PA-shares,OR.PA-shares,RMS.PA-shares,TTE.PA-shares,SAN.PA-shares,AIR.PA-shares,SU.PA-shares,AI.PA-shares,EL.PA-shares,BNP.PA-shares,KER.PA-shares,DG.PA-shares,CS.PA-shares,SAF.PA-shares,RI.PA-shares,DSY.PA-shares,STLAM.MI-shares,BN.PA-shares,STMPA.PA-shares,ACA.PA-shares,MC.PA-totals,OR.PA-totals,RMS.PA-totals,TTE.PA-totals,SAN.PA-totals,AIR.PA-totals,SU.PA-totals,AI.PA-totals,EL.PA-totals,BNP.PA-totals,KER.PA-totals,DG.PA-totals,CS.PA-totals,SAF.PA-totals,RI.PA-totals,DSY.PA-totals,STLAM.MI-totals,BN.PA-totals,STMPA.PA-totals,ACA.PA-totals,action-0,price-0,shares-0,action-1,price-1,shares-1,action-2,price-2,shares-2,action-3,price-3,shares-3,action-4,price-4,shares-4,action-5,price-5,shares-5,action-6,price-6,shares-6,action-7,price-7,shares-7,action-8,price-8,shares-8
1719571204.77351,2005-06-04T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571209.773716,2005-06-05T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571214.782267,2005-06-06T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571219.784938,2005-06-07T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571224.777661,2005-06-08T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571229.773793,2005-06-09T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571234.802362,2005-06-10T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571239.773573,2005-06-11T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571244.764242,2005-06-12T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
1719571249.773752,2005-06-13T00:00:00,OR.PA,100000,sell,market,False,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,buy,10,1,buy,20,1,buy,30,1,buy,30,1,buy,30,1,,,,,,,,,,,,
