Date,Open,High,Low,Close,Adj Close,Volume
2002-02-20,4248.759766,4279.080078,4210.299805,4238.990234,4238.990234,0
2002-02-21,4298.450195,4316.700195,4264.629883,4287.220215,4287.220215,0
2002-02-22,4251.830078,4264.540039,4224.459961,4245.200195,4245.200195,0
2002-02-25,4270.549805,4305.439941,4240.259766,4305.439941,4305.439941,0
2002-02-26,4340.450195,4385.930176,4330.580078,4340.859863,4340.859863,0
2002-02-27,4363.640137,4424.709961,4363.330078,4424.709961,4424.709961,0
2002-02-28,4396.089844,4482.259766,4383.370117,4462.990234,4462.990234,0
2002-03-01,4442.399902,4495.310059,4436.939941,4486.419922,4486.419922,0
2002-03-04,4538.709961,4626.680176,4538.709961,4607.439941,4607.439941,0
2002-03-05,4608.220215,4620.759766,4566.529785,4580.75,4580.75,0
2002-03-06,4564.990234,4605.47998,4542.560059,4588.140137,4588.140137,0
2002-03-07,4626.919922,4671.0,4606.370117,4616.5,4616.5,0
2002-03-08,4590.5,4656.529785,4590.5,4629.109863,4629.109863,0
2002-03-11,4619.77002,4642.560059,4577.839844,4586.75,4586.75,0
2002-03-12,4578.240234,4582.399902,4517.899902,4550.649902,4550.649902,0
2002-03-13,4551.52002,4601.97998,4523.77002,4523.77002,4523.77002,0
2002-03-14,4514.919922,4567.77002,4514.859863,4546.839844,4546.839844,0
2002-03-15,4540.100098,4588.330078,4514.720215,4588.330078,4588.330078,0
2002-03-18,4600.790039,4652.540039,4600.790039,4625.810059,4625.810059,0
2002-03-19,4636.330078,4650.890137,4613.200195,4644.930176,4644.930176,0
2002-03-20,4640.819824,4652.430176,4597.470215,4603.799805,4603.799805,0
2002-03-21,4582.5,4621.779785,4569.399902,4579.899902,4579.899902,0
2002-03-22,4599.0,4620.990234,4577.819824,4601.569824,4601.569824,0
2002-03-25,4597.310059,4651.689941,4586.47998,4588.359863,4588.359863,0
2002-03-26,4580.970215,4646.0,4565.27002,4628.069824,4628.069824,0
