Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,5875.600098,5975.830078,5857.339844,5931.060059,5931.060059,72811500
2022-07-04,5983.979980,6002.069824,5943.910156,5954.649902,5954.649902,54436800
2022-07-05,5979.200195,5981.509766,5786.500000,5794.959961,5794.959961,104293700
2022-07-06,5872.270020,5927.500000,5846.100098,5912.379883,5912.379883,89619400
2022-07-07,5985.089844,6024.310059,5967.979980,6006.700195,6006.700195,94857900
2022-07-08,6007.640137,6053.169922,5952.890137,6033.129883,6033.129883,76855400
2022-07-11,5923.830078,6004.520020,5909.729980,5996.299805,5996.299805,59496400
2022-07-12,5960.089844,6053.330078,5930.979980,6044.200195,6044.200195,71122100
2022-07-13,6015.529785,6025.729980,5922.939941,6000.240234,6000.240234,70802000
2022-07-14,5979.990234,5997.310059,5874.680176,5915.410156,5915.410156,72944000
2022-07-15,5935.279785,6043.799805,5901.379883,6036.000000,6036.000000,76205700
2022-07-18,6070.209961,6136.020020,6059.870117,6091.910156,6091.910156,59881400
2022-07-19,6031.600098,6213.879883,6028.790039,6201.220215,6201.220215,74716500
2022-07-20,6229.790039,6245.470215,6151.359863,6184.660156,6184.660156,76814600
2022-07-21,6160.370117,6233.979980,6143.060059,6201.109863,6201.109863,78627800
2022-07-22,6174.290039,6247.350098,6168.770020,6216.819824,6216.819824,68727100
2022-07-25,6198.830078,6260.129883,6177.140137,6237.549805,6237.549805,60387200
2022-07-26,6225.169922,6243.859863,6194.959961,6211.450195,6211.450195,60556300
2022-07-27,6206.250000,6267.799805,6199.930176,6257.939941,6257.939941,69640600
2022-07-28,6304.129883,6339.209961,6236.569824,6339.209961,6339.209961,92169500
2022-07-29,6413.100098,6472.270020,6397.910156,6448.500000,6448.500000,103116600
2022-08-01,6447.180176,6484.080078,6434.120117,6436.859863,6436.859863,64439900
2022-08-02,6424.680176,6429.049805,6381.430176,6409.799805,6409.799805,66079400
2022-08-03,6404.100098,6475.540039,6398.990234,6472.060059,6472.060059,78438000
2022-08-04,6476.720215,6555.709961,6475.049805,6513.390137,6513.390137,75071500
2022-08-05,6512.620117,6523.029785,6449.720215,6472.350098,6472.350098,71657900
2022-08-08,6510.450195,6564.240234,6503.270020,6524.439941,6524.439941,57501500
2022-08-09,6514.520020,6530.350098,6480.060059,6490.000000,6490.000000,60132500
2022-08-10,6467.100098,6545.640137,6453.790039,6523.439941,6523.439941,67978700
2022-08-11,6560.209961,6562.319824,6499.629883,6544.669922,6544.669922,63494500
2022-08-12,6553.240234,6587.839844,6539.750000,6553.859863,6553.859863,59404000
2022-08-15,6582.629883,6586.959961,6532.479980,6569.950195,6569.950195,41045400
2022-08-16,6580.990234,6608.830078,6568.580078,6592.580078,6592.580078,56347800
2022-08-17,6608.640137,6608.640137,6517.990234,6528.319824,6528.319824,62910000
2022-08-18,6530.580078,6576.370117,6519.569824,6557.399902,6557.399902,52233900
2022-08-19,6520.439941,6549.129883,6488.000000,6495.830078,6495.830078,65894600
2022-08-22,6448.810059,6459.359863,6352.970215,6378.740234,6378.740234,78589600
2022-08-23,6331.169922,6402.220215,6331.169922,6362.020020,6362.020020,60089800
2022-08-24,6332.430176,6396.629883,6319.700195,6386.759766,6386.759766,52703400
2022-08-25,6432.160156,6440.689941,6361.529785,6381.560059,6381.560059,49495300
2022-08-26,6420.750000,6429.790039,6252.589844,6274.259766,6274.259766,67384400
2022-08-29,6199.109863,6232.250000,6153.439941,6222.279785,6222.279785,54873600
2022-08-30,6243.080078,6303.660156,6182.629883,6210.220215,6210.220215,65574600
2022-08-31,6226.990234,6230.899902,6125.100098,6125.100098,6125.100098,109610300
2022-09-01,6068.339844,6072.930176,6009.089844,6034.310059,6034.310059,74056000
2022-09-02,6075.729980,6178.290039,6051.020020,6167.509766,6167.509766,76451600
2022-09-05,6048.220215,6105.589844,6018.020020,6093.220215,6093.220215,65693400
2022-09-06,6083.020020,6138.220215,6060.439941,6104.609863,6104.609863,54762700
2022-09-07,6059.640137,6119.950195,6045.270020,6105.919922,6105.919922,71611100
2022-09-08,6136.930176,6143.290039,6034.790039,6125.899902,6125.899902,75081400
2022-09-09,6140.870117,6239.109863,6138.879883,6212.330078,6212.330078,72211000
2022-09-12,6242.459961,6352.450195,6224.509766,6333.589844,6333.589844,77476100
2022-09-13,6360.310059,6394.180176,6245.689941,6245.689941,6245.689941,79001400
2022-09-14,6210.770020,6249.290039,6183.549805,6222.410156,6222.410156,75468700
2022-09-15,6212.209961,6249.520020,6143.359863,6157.839844,6157.839844,74835300
2022-09-16,6100.790039,6114.359863,6052.419922,6077.299805,6077.299805,153174600
2022-09-19,6049.000000,6093.399902,5974.720215,6061.589844,6061.589844,51601200
2022-09-20,6084.410156,6118.250000,5970.229980,5979.470215,5979.470215,77470600
2022-09-21,5928.500000,6034.270020,5915.569824,6031.330078,6031.330078,70185800
2022-09-22,5928.540039,6022.390137,5918.500000,5918.500000,5918.500000,72756700
2022-09-23,5906.180176,5913.709961,5765.649902,5783.410156,5783.410156,92468500
2022-09-26,5744.490234,5828.049805,5736.000000,5769.390137,5769.390137,78603600
2022-09-27,5809.819824,5852.609863,5753.819824,5753.819824,5753.819824,85032200
2022-09-28,5692.540039,5773.080078,5651.490234,5765.009766,5765.009766,106668700
2022-09-29,5746.290039,5746.290039,5628.419922,5676.870117,5676.870117,102422800
2022-09-30,5712.200195,5770.779785,5688.339844,5762.339844,5762.339844,102731500
2022-10-03,5697.470215,5804.270020,5654.439941,5794.149902,5794.149902,80848100
2022-10-04,5859.450195,6039.689941,5852.919922,6039.689941,6039.689941,95391900
2022-10-05,6006.120117,6034.930176,5953.549805,5985.459961,5985.459961,75121600
2022-10-06,6004.109863,6018.470215,5917.270020,5936.419922,5936.419922,63735200
2022-10-07,5911.959961,5956.950195,5855.660156,5866.939941,5866.939941,65700300
2022-10-10,5806.569824,5883.850098,5796.310059,5840.549805,5840.549805,64916700
2022-10-11,5796.830078,5849.580078,5770.479980,5833.200195,5833.200195,66016800
2022-10-12,5842.100098,5872.490234,5788.660156,5818.470215,5818.470215,70096900
2022-10-13,5792.540039,5899.819824,5704.870117,5879.189941,5879.189941,86713000
2022-10-14,5965.799805,6044.750000,5921.149902,5931.919922,5931.919922,80215500
2022-10-17,5949.649902,6068.370117,5910.390137,6040.660156,6040.660156,63825900
2022-10-18,6098.600098,6139.779785,6057.379883,6067.000000,6067.000000,66543800
2022-10-19,6092.770020,6109.970215,6040.720215,6040.720215,6040.720215,66384700
2022-10-20,6046.810059,6103.500000,6029.529785,6086.899902,6086.899902,62634500
2022-10-21,6021.580078,6056.040039,5952.879883,6035.390137,6035.390137,72699400
2022-10-24,6076.200195,6175.620117,6041.140137,6131.359863,6131.359863,78770900
2022-10-25,6172.649902,6253.120117,6135.379883,6250.549805,6250.549805,78255100
2022-10-26,6244.640137,6282.750000,6219.330078,6276.310059,6276.310059,68833800
2022-10-27,6253.850098,6272.200195,6194.330078,6244.029785,6244.029785,85178900
2022-10-28,6192.180176,6278.770020,6183.410156,6273.049805,6273.049805,72520200
2022-10-31,6279.700195,6293.149902,6244.080078,6266.770020,6266.770020,66506100
2022-11-01,6329.759766,6383.700195,6306.049805,6328.250000,6328.250000,60553400
2022-11-02,6351.310059,6376.290039,6273.549805,6276.879883,6276.879883,68322300
2022-11-03,6209.629883,6245.689941,6191.729980,6243.279785,6243.279785,70824300
2022-11-04,6291.390137,6466.319824,6289.069824,6416.439941,6416.439941,99100700
2022-11-07,6379.490234,6442.410156,6363.700195,6416.609863,6416.609863,74724700
2022-11-08,6391.750000,6451.160156,6378.319824,6441.500000,6441.500000,63537800
2022-11-09,6426.799805,6446.500000,6405.839844,6430.569824,6430.569824,65301500
2022-11-10,6396.589844,6573.850098,6381.419922,6556.830078,6556.830078,115490300
2022-11-11,6612.930176,6636.810059,6573.870117,6594.620117,6594.620117,98336500
